Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Aruba,ABW,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242000,666000,1732000,3142000,4138000,5312000,6342000,7209000,7814000,8318000,8720000,9023000,9249000,14383000,14992000,9395000,9395000,9395000,19149951.9,21653848.1,18364190.3,21352709.1,104846801.3,222695204,261728153.5,105102007.2,257184255.6,327843758.1,355221348.6,434534085,364413004,,
Angola,AGO,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10000,5439000,9394000,339840000,667157009.6,261884041.2,427974206.1,388335689.6,612607986.4,988436108.4,1297672619.4,1928777993.2,1880316458.9,2170673955.3,1957808164.2,1168519201.9,1266688669.9,1684519067,1585490036.8,1322915747.5,1451104782.3,1207525379.6,1074134809.7,1195988874.8,2315759631.7,2132161298.1,2269630578.8,2390637402.7,2592529310.2,4567608350,6061667120.6,8695501803.8,11351670129.1,7659805207.3,8166338543.3,4380009040.4,3695083650.5,2311703495,,
Albania,ALB,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74400000,312900000,425285623.2,492446965.5,577384270.8,581342091,62336399.2,31589079.6,47783414.8,34905746,29038739.8,36665780.4,30618859.5,29046332.8,149434035.8,1227000,155038000,386475000,510666758.6,1149654325.7,680539000,743172000,1091790000,1469894000,2003193000,1875191000,1795011000,1869474000,2149018000,2164565000,,
Andorra,AND,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,639000000,687000000,745000000,794000000,839000000,849000000,1020000000,2724000000,3428000000,6911000000,10383400000,12921335000,16521000000,8913443821.4,10718236231.7,6731406247.9,4409872619.7,3532995273.5,5717914909.5,8524665275.7,10440396127,13545803095.6,16176291841.2,8652721196.1,7170908909.8,21354822279.8,23497457471.7,31988007695.3,30956044184.1,29415210000,28325319330.3,20003921785,14834758132.5,22386271299.8,26548725130.7,35040535349.5,28250475405.5,19200772122,19439501013,19285823131.6,16413011633.1,25745591622.2,25251911426.5,36691603037.6,33891139953.7,59434245510.8,41016686116.4,55460778368.8,67582635382.3,,
Armenia,ARM,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38050000,20000,1066584.4,2140000,1400000,22000000,45170000,49200000,44419000,41972000,220000000,404000000,410000000,297850000,306860000,500637000,520782000,529168000,655743000,903691000,842033000,1149875000,908221000,663652000,1071620000,889000000,1134000000,,
American Samoa,ASM,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,9615000,14032076.5,15481000,4000000,1480000,29000000,156210000,102860000,82380000,103000000,138000000,186000000,520000000,1132000000,1136000000,595000000,999000000,91000000,1631115000,1604885000,2020737000,1547517000,1395983000,674712000,569722000,,
Burundi,BDI,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,0,0,0,0,0,0,0,5000000,5000000,13000000,12000000,10000000,16000000,10000000,12028107.4,31587228.8,24066898.6,37319802.6,12674854.9,16441856.4,13362339.6,13365405.4,12961057,5189279.2,5620957.9,14898341.1,8213415.8,15808266.1,20092841.3,69692458.9,65002565.6,88392820.2,96341205.5,47555535.7,22561392.3,34061209.9,37615945.6,13801085.1,17988424,7000000,15739332,422532.3,7265000,31265000,48265000,265000,265000,265000,265000,,
Belgium,BEL,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,880231.4,1224400.1,2015652.1,2916241.1,4072118.8,5279608,4982549.5,32439646.8,62162265.5,97807042.5,73410200.9,84467984.8,78293519.5,83298735.1,88553359.7,145828223.8,171316666.9,210013522,151430405.2,70789213.1,55534709.2,61864235.7,27530400.5,33104115.8,30942562,47004468.9,46883209.3,136149251.1,85947239.9,122058757.7,66301000,80095000,75055000,35051000,25445000,40884022.5,40906850.8,116910542.9,89346923.3,213170416.9,340607591.7,496728522.7,174989413.3,189351407.1,60607683.6,75318872.4,62292392.5,71756272.1,55732577.2,,
Burkina Faso,BFA,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,0,0,0,0,0,0,0,30002375.3,78007111.6,38000000,35000000,35000000,32029784,27512056.7,29971422,44757237.5,54742058.1,77422266.3,75324581.2,68524036.6,84036902.1,75763586.2,52251790.4,29874600.7,40782778.9,55835323.7,53362211.9,65848938.9,59422815.3,103403390.9,84311602,63471333.8,11234550.9,14139000,24096000,22221536.9,89063000,155015802.5,8530127.6,0,0,0,0,0,0,0,0,0,0,,
Bangladesh,BGD,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,,,,,,,,,,,0,0,0,530584.1,46012.9,2024818.7,3212769.1,27045602.3,72401604.2,111149808,212042930,228043884,209043591.5,170044968.6,133040477.5,135053446.5,125060454.5,74033369,49794094,67532000.2,155934434.8,218572710.1,232693084.2,152837980.2,194536652.7,199198149.8,163065470,175000000,149720000,254290000,334000000,360743000,572094000,617000000,712000000,688428094,1178000000,1369670044.5,1894336746,1934215154,2949209920.6,2105312306,1959209610.8,3734855020.3,4153030868.6,6632730698.6,7836437951.4,10766873851.6,9031265985.2,,
